100	2
-0.0832075	-1.27442	
-0.196059	-0.113103	
-0.736503	-0.843225	
-1.20457	-0.809026	
-1.46787	-1.63804	
-0.645367	-2.15957	
-1.64422	-0.460541	
-0.872265	-1.49603	
-0.892419	-1.09105	
-0.896465	-1.13361	
-0.456055	-1.98803	
-0.42039	-0.951783	
-0.940432	-0.438915	
-0.806105	-0.905302	
-0.854647	-1.87155	
-0.470644	-1.43986	
-1.25705	-1.0532	
-1.16394	-0.749124	
-1.5438	-1.25462	
-0.989939	-0.891055	
-0.745069	-0.925044	
-1.49038	-1.14891	
-0.46322	-1.20721	
-0.335109	-0.862337	
-1.73626	-0.287974	
-0.992382	-1.39886	
-1.08198	-1.31791	
-1.4256	-1.89931	
-0.317288	-1.42262	
-1.05698	-1.25508	
0.174229	-1.07068	
-0.330932	-0.913793	
-1.23874	-1.97584	
-1.75919	-1.86421	
-0.93944	-0.404624	
-0.926587	-0.449313	
-0.464329	-1.50564	
-1.34905	-0.96641	
-0.984201	-1.49716	
-1.22998	-0.870416	
-0.30605	-1.85193	
-1.30351	-0.51229	
-1.28127	-1.43445	
-1.88038	-0.584247	
-0.704459	-1.12416	
-1.11711	-0.594196	
-1.12658	-0.956981	
-1.14207	-0.579827	
-1.33598	-1.05294	
-0.304163	-1.40509	
1.21145	1.10121	
0.641527	0.618081	
1.25333	0.676726	
1.14007	1.10354	
1.40713	1.57099	
1.16651	0.552733	
0.643301	0.702284	
1.76304	0.414374	
1.05374	1.60377	
0.916491	0.863977	
1.39288	0.901523	
1.92954	0.420904	
0.711357	0.987429	
0.627568	0.452751	
0.640071	1.51101	
0.567033	2.11668	
0.961805	0.576672	
0.415047	0.862357	
1.07416	1.05001	
1.53499	0.345744	
0.495014	2.06347	
1.58884	1.00035	
0.320887	1.58713	
0.870773	0.78786	
0.0205429	-0.146248	
1.3165	1.77766	
1.55273	1.38905	
0.858773	0.800637	
1.04304	1.27793	
1.29988	0.662388	
1.58528	0.746565	
0.671667	0.376169	
0.945555	1.19698	
0.770533	1.62837	
0.476511	1.03188	
0.86138	0.876561	
1.29115	0.826621	
1.54092	1.24641	
1.91587	0.587333	
0.98462	1.13632	
0.967858	0.40464	
1.37933	1.47874	
0.785846	1.2354	
1.43389	0.796812	
2.03536	1.78191	
0.401395	0.583053	
1.68354	0.914577	
2.42873	-0.0196155	
1.28395	1.06097	
0.896911	1.61264	
