100	2
-1.18464	-1.2737	
-0.754164	-0.0874456	
-1.58872	-0.284565	
-0.530396	-1.11482	
-0.817399	-2.17839	
-0.258517	-1.37709	
-0.581933	-1.3096	
-0.590367	-0.84656	
-0.793729	-1.03288	
-1.27554	-0.965308	
-0.296509	-0.637971	
-0.752828	-1.81	
-1.46895	-0.929849	
-0.216395	-1.44622	
-0.626277	-0.493827	
-1.45009	-2.08317	
-2.26209	-0.0665154	
-1.26196	-0.558522	
-0.80913	-1.48483	
-0.956484	-1.07378	
-1.67394	-0.870846	
-0.726904	-2.20299	
-0.647311	-0.835542	
-1.05745	-0.659721	
-1.12359	-0.17683	
-0.287397	-1.97023	
-0.797649	-0.600242	
-1.11656	-0.878602	
-0.997169	-0.858603	
-1.32757	-0.544868	
-0.766092	-1.46667	
-1.1685	-0.637535	
-2.26451	-1.88451	
-0.797042	-1.13729	
-1.49663	-1.05972	
-0.95094	-1.41642	
-1.53764	-1.93669	
-0.515904	-1.04418	
-0.889586	-1.43356	
-1.32242	-0.958723	
-2.29984	-0.940844	
-1.11049	-1.01768	
-0.498087	-1.38338	
-0.430396	-1.3337	
-0.71886	-1.33252	
-0.840338	-0.444042	
-1.89374	-1.21992	
-1.63562	-1.60244	
-1.66074	-1.10579	
-1.56296	-0.872125	
0.760894	0.712725	
1.49854	1.38919	
0.962951	0.236757	
1.3969	-0.0971867	
1.1541	1.14058	
0.384676	0.885364	
0.699202	0.658019	
1.30507	1.2544	
1.98328	0.241913	
1.36096	1.00052	
-0.0406562	0.620657	
1.07152	0.620051	
1.28442	0.523976	
1.22517	0.619274	
0.742263	0.675489	
1.14898	1.36269	
0.788275	0.576478	
-0.0644872	0.91222	
0.544197	1.28481	
0.697209	2.23129	
0.774759	1.30825	
1.1315	0.642991	
0.703868	2.11402	
1.06185	1.08144	
1.89911	0.972854	
1.55589	1.45039	
0.977069	0.937944	
0.616487	1.50184	
1.46715	1.24608	
0.917701	1.43605	
0.800781	1.39571	
0.591722	0.247961	
0.748723	0.826539	
0.241993	1.35043	
1.36076	0.830926	
0.501609	1.20555	
1.39534	1.81757	
1.18894	0.738653	
1.68106	1.22475	
0.817773	1.48496	
0.692319	1.47679	
0.953152	0.993561	
1.69318	1.71164	
1.86954	0.589955	
0.341845	0.816091	
0.737342	-0.0460218	
0.999351	1.6646	
1.72326	0.896572	
1.47353	1.07769	
0.819856	1.70794	
