200	2
-0.807824	-1.42198	
-1.31052	-1.11252	
-1.41185	-1.09893	
-0.624831	-0.657046	
-0.44775	-0.685748	
-1.02915	-0.822718	
-1.26082	-0.907858	
-0.780921	-0.294433	
-0.991769	-1.22747	
-1.44455	-0.719827	
-1.48784	-1.45445	
-2.42887	-1.76344	
-0.520944	-1.39271	
-0.95464	-0.407456	
-1.1481	-1.71277	
-0.629357	-1.43357	
-0.855719	-1.00026	
-1.55302	-1.67	
-0.695464	-1.25486	
-0.295644	-0.192786	
-0.465396	-0.461216	
-0.714594	-1.07034	
-1.1809	-0.937929	
-1.74046	-1.64586	
-0.777944	-0.453174	
-0.613429	-0.732002	
-1.44433	-1.0682	
-1.37649	-1.04077	
-1.46006	-1.3874	
-1.9036	-1.45624	
-1.56578	-1.30619	
-1.02423	-1.18369	
-1.4036	-1.39724	
0.35657	-0.355965	
0.146168	-1.28882	
-1.35398	-0.743024	
-0.327708	-0.600548	
-1.62827	-1.05652	
-0.70237	-1.59644	
-1.79621	-1.28631	
-1.10812	-0.997304	
-0.695671	-0.236162	
-0.788231	-1.34087	
-1.19041	-1.12153	
-0.865557	-1.41537	
-0.347092	-1.79479	
-0.444443	-1.60218	
-1.4439	-1.32809	
-1.9309	-2.08562	
-0.787808	-1.38476	
0.664901	0.530339	
1.08705	0.853016	
0.928473	-0.144642	
0.912157	0.451061	
0.506418	0.9233	
0.109256	0.554229	
1.34106	1.02995	
1.43025	0.525733	
0.932459	1.53571	
0.923251	1.22616	
0.510994	0.926845	
1.15652	1.408	
0.573098	1.21015	
0.945292	0.89254	
0.461302	0.13773	
1.47317	2.41242	
0.180512	1.22196	
0.8519	1.70143	
0.996065	0.669151	
0.465675	1.12287	
0.338888	1.12554	
1.15698	0.834147	
1.20418	0.771606	
0.901014	1.01116	
0.776592	1.10815	
1.69284	1.08385	
1.08058	1.96257	
-0.0011507	0.671719	
1.1468	1.72945	
1.30079	0.609007	
1.24995	1.19823	
1.10235	0.95224	
0.842781	1.04779	
0.841605	0.610977	
1.45439	0.688069	
1.64284	0.590051	
0.0376372	0.838093	
0.533442	1.15693	
0.22294	1.5068	
1.75199	0.641408	
1.4655	1.04718	
1.33199	0.625555	
0.864252	0.981843	
0.838378	0.929529	
0.242189	1.45116	
1.03743	1.0355	
1.34589	0.921455	
0.563034	1.52276	
1.16297	1.46131	
0.900029	0.78869	
-1.6484	0.810627	
-1.22789	1.55204	
-0.849376	0.757684	
-0.199266	0.282814	
-1.84719	1.12411	
-1.58958	1.10885	
-1.27552	0.586553	
-1.12346	0.77578	
-1.80201	1.41537	
-0.553641	1.55735	
-0.964544	0.443646	
-0.878945	0.930629	
-0.986491	0.2887	
-1.35539	0.806408	
-0.302513	1.47389	
-1.07174	1.60565	
-0.698858	-0.468916	
-0.898293	0.738594	
-1.20049	1.2527	
-1.27455	1.4234	
-1.02027	1.16918	
-1.62845	1.43761	
-0.497477	1.29535	
-1.13896	0.110895	
-1.79639	0.570097	
-1.14513	1.71905	
-0.991091	0.756446	
-0.621637	0.392658	
-1.83894	1.05952	
-0.623478	0.818563	
-1.84528	0.71663	
-1.54234	0.922807	
0.0981834	0.401036	
-0.41161	0.580195	
-0.228108	1.69029	
-0.92056	0.462795	
-1.40303	0.695357	
-0.926696	0.861974	
-1.42715	1.43828	
-0.864928	1.1848	
-0.479259	1.57499	
-2.05537	1.28164	
-1.06944	1.38275	
-1.12344	0.988466	
-0.837474	1.61196	
-1.82765	1.30458	
-1.76155	0.95737	
-0.866751	1.19644	
-1.81888	0.700114	
-1.66631	1.52896	
-0.321487	-0.756323	
0.181038	0.36692	
-0.856053	-0.767898	
0.236769	-0.0537691	
0.748159	-0.733197	
-0.51851	0.540793	
0.386002	-0.601373	
0.122953	-0.194124	
0.295775	0.364462	
-0.0411521	0.0683644	
0.2796	-0.355155	
-0.23303	0.625554	
-0.558306	-0.373492	
-0.0268211	-0.80104	
-0.012326	-1.08252	
-0.0690382	-0.750943	
0.00382708	0.11283	
-0.994627	0.0382404	
0.42183	-0.435	
-0.0595596	0.173663	
-0.123738	-0.228502	
-0.0995752	0.242628	
-0.0372899	-0.0643589	
-0.185731	0.25091	
0.0205481	0.0359207	
-0.984885	0.357569	
-0.834851	0.659564	
-0.276296	-0.25411	
-0.78778	-0.493341	
-0.193205	0.174613	
0.0888465	0.186312	
-0.182364	0.414187	
-0.506626	0.157014	
-0.198732	-0.469694	
-0.946265	0.546264	
0.44869	-0.415947	
-0.652839	0.647607	
0.661178	0.753956	
0.444763	0.736656	
-0.975189	0.139549	
-0.0312269	-0.0720656	
-0.524088	0.215282	
-0.0162339	0.171482	
-0.484863	-0.87576	
-0.88799	0.129506	
0.0217464	0.54434	
-0.589635	0.439141	
-0.906353	0.308243	
0.944671	-0.485757	
-0.464128	0.0492321	
